ds,bioenergy,coal,gas,hydro,nuclear,oil,solar,wind,year,bioenergy_emission,solar_emission,wind_emission,hydro_emission,nuclear_emission,oil_emission,gas_emission,coal_emission,total_emission_MtCO2
2002-01-01,2.252249434041761,423.750015056469,64.56826696683426,86.31554673327796,15.681508357331186,25.77618960956777,-0.0247834690892846,2.521146129423616,2002,0.09008997736167045,-0.001115256109017807,0.027732607423659777,0.34526218693311184,0.18817810028797424,19.074380311080148,31.638450813748786,347.4750123463046,398.8379910870309
2003-01-01,2.843592087861245,443.0169773567796,68.85383319128465,90.02366421287158,16.64650483009352,24.360640941605133,-0.0233764522687078,3.3876401221728973,2003,0.1137436835144498,-0.001051940352091851,0.03726404134390187,0.36009465685148634,0.19975805796112223,18.0268742967878,33.73837826372948,363.27392143255923,415.7489824923954
2004-01-01,3.4349347416807303,462.2839396570902,73.13939941573504,93.73178169246523,17.611501302855856,22.94509227364251,-0.021969435448131,4.254134114922188,2004,0.13739738966722922,-0.0009886245951658949,0.046795475264144064,0.37492712676986095,0.2113380156342703,16.979368282495457,35.83830571371017,379.07283051881393,432.65997389775987
2005-01-01,4.0288432882398135,481.6109355519866,77.4367069198574,97.45005840299716,18.57914160076579,21.52565887217711,-0.0188013970202103,6.685909467514377,2005,0.16115373152959253,-0.0008460628659094635,0.07354500414265815,0.3898002336119886,0.2229496992091895,15.928987565411061,37.943986390730124,394.920967152629,449.64054371439767
2006-01-01,6.0642775112740965,502.24603636646265,81.7222728827042,101.15817587768647,19.544138073161893,20.110103171227497,-0.0155519520569418,9.112972883456049,2006,0.24257110045096386,-0.0006998378425623809,0.10024270171801652,0.40463270351074593,0.23452965687794272,14.881476346708347,40.04391371252506,411.84174982049933,467.74841620444784
2007-01-01,8.236877840258236,537.881446057097,86.00782855938442,104.86629335137184,20.509663765869064,18.69454747204717,-0.0115097517496233,11.54121060999712,2007,0.32947511361032944,-0.0005179388287330485,0.12695331670996832,0.41946517340548733,0.24611596519042878,13.833965129314905,42.14383599409837,441.06278576681956,498.16207852032034
2008-01-01,10.40987287550256,573.5429762588566,90.29334273813689,108.57441080964388,22.10461291933164,17.278991771673166,-0.0065313875511049,13.970403779197156,2008,0.4163949150201024,-0.0002939124397997205,0.15367444157116872,0.4342976432385755,0.26525535503197967,12.786453911038143,44.24373794168707,470.30524053226236,528.6047608274096
2009-01-01,12.588821321802351,609.3022092830867,94.5905980516257,112.29268749382896,23.70393179650233,15.859557836503605,-0.0015393839986152,16.406252272148436,2009,0.5035528528720941,-6.927227993768399e-05,0.18046877499363279,0.44917074997531586,0.284447181558028,11.736072799012668,46.349393045296594,499.62781161213104,559.1308477435595
2010-01-01,14.76181768269017,662.8079687080983,92.51786123785504,116.0008049343181,25.58658374889779,14.444068107179042,0.8457378900917855,19.98013516375789,2010,0.5904727073076068,0.038058205054130344,0.21978148680133677,0.4640032197372724,0.3070390049867735,10.688610399312491,45.33375200654897,543.5025343406406,601.1442513703892
2011-01-01,16.934814041361953,726.4784486217363,90.44249705776448,119.70890774817076,27.469235701500715,13.028868159114172,1.6938308002941007,23.555780144066528,2011,0.6773925616544781,0.07622238601323453,0.2591135815847318,0.47883563099268306,0.32963082841800856,9.641362437744487,44.3168235583046,595.7123278698238,651.491708854536
